	Meaty	Medicinal	Chocolate	Wood	Spice	Herbaceous	Berry	Dairy	Green	Nutty	Petrol	Floral	Caramel	Sulphur	Tree fruit	Tropical	Marine	Earthy	Melon	Sour	Citrus	Roasted	Phenol	Pungent	Smoke	Toasted	Savory
45	0.31	0.46	0.54	0.31	0.39	0.39	0.78	0.69	0.65	0.33	0.5	0.52	0.68	0.26	0.56	0.87	0.43	0.51	0.67	0.6	0.46	0.13	0.47	0.52	0.5	0.29	0.5
46	1.0	0.6	0.89	0.26	0.58	0.47	0.45	0.81	0.42	1.0	0.67	0.33	0.65	0.72	0.18	0.26	1.0	1.0	0.22	0.73	0.13	1.0	1.0	0.72	1.0	1.0	0.5
47	0.08	0.1	0.14	0.08	0.19	0.17	0.08	0.25	0.19	0.16	0.33	0.17	0.12	0.07	0.02	0.11	0.36	0.23	0.22	0.13	0.17	0.04	0.2	0.3	0.06	1.0	0.5
48	0.11	0.12	0.36	0.08	0.1	0.24	0.23	0.31	0.32	0.23	0.17	0.19	0.21	0.1	0.34	0.14	0.07	0.19	0.11	0.07	0.03	0.16	0.13	0.24	0.11	1.0	0.5
49	0.08	0.02	0.18	0.03	0.1	0.07	0.05	0.06	0.14	0.16	0.17	0.06	0.09	0.05	0.03	0.07	0.07	0.14	0.11	0.07	0.03	0.2	0.07	0.09	0.11	0.14	0.5
50	0.08	0.04	0.18	0.03	0.03	0.05	0.05	0.06	0.04	0.06	0.17	0.03	0.06	0.05	0.05	0.06	0.07	0.03	0.06	0.07	0.02	0.2	0.07	0.09	0.11	0.14	0.5
51	0.17	0.29	0.43	0.1	0.23	0.12	0.13	0.25	0.23	0.55	0.17	0.28	0.38	0.1	0.15	0.09	0.36	0.23	0.11	0.47	0.15	0.29	0.27	0.28	0.11	0.43	0.5
52	0.03	0.02	0.11	0.1	0.23	0.03	0.01	0.12	0.08	0.11	0.17	0.06	0.06	0.1	0.02	0.06	0.07	0.09	0.06	0.13	0.01	0.07	0.07	0.04	0.11	0.43	0.5
53	0.36	0.21	0.61	0.13	0.26	0.17	0.2	0.31	0.33	0.57	0.5	0.2	0.25	0.22	0.09	0.16	0.43	0.43	0.17	0.47	0.09	0.4	0.3	0.41	0.39	0.43	0.5
54	0.22	0.31	0.43	0.29	0.35	0.32	0.22	0.31	0.41	0.62	0.5	0.36	0.4	0.19	0.17	0.16	0.57	0.56	0.28	0.47	0.32	0.27	0.17	0.5	0.22	0.14	0.5
55	0.33	0.4	0.54	0.26	0.26	0.31	0.27	0.62	0.47	0.69	0.67	0.47	0.48	0.17	0.23	0.24	0.64	0.47	0.28	0.73	0.41	0.24	0.4	0.52	0.17	0.43	0.5
56	0.28	0.38	0.46	0.38	0.58	0.34	0.21	0.31	0.44	0.49	0.33	0.52	0.46	0.12	0.17	0.13	0.57	0.41	0.22	0.4	0.47	0.24	0.4	0.52	0.22	0.14	0.5
57	0.03	0.12	0.07	0.08	0.06	0.12	0.11	0.31	0.18	0.11	0.17	0.12	0.13	0.12	0.09	0.16	0.14	0.11	0.06	0.27	0.17	0.07	0.07	0.09	0.22	0.14	0.5
58	0.19	0.15	0.29	0.06	0.1	0.02	0.05	0.06	0.08	0.33	0.17	0.02	0.09	0.04	0.02	0.01	0.29	0.17	0.06	0.13	0.03	0.36	0.03	0.13	0.28	0.14	0.5
59	0.11	0.08	0.14	0.03	0.03	0.1	0.04	0.06	0.1	0.21	0.5	0.03	0.05	0.14	0.01	0.02	0.29	0.27	0.06	0.07	0.06	0.13	0.1	0.11	0.06	0.14	0.5
60	0.14	0.29	0.29	0.11	0.1	0.34	0.33	1.0	0.43	0.21	0.67	0.32	0.35	0.1	0.28	0.36	0.36	0.3	0.39	0.47	0.37	0.07	0.23	0.39	0.17	0.14	0.5
61	0.03	0.29	0.29	0.01	0.1	0.34	0.01	0.19	0.02	0.21	0.17	0.32	0.01	0.05	0.28	0.01	0.14	0.06	0.39	0.27	0.37	0.07	0.23	0.02	0.17	0.14	0.5
62	0.22	0.12	0.29	0.11	0.1	0.22	0.3	0.44	0.35	0.25	0.67	0.24	0.26	0.26	0.2	0.39	0.5	0.31	0.22	0.67	0.25	0.11	0.13	0.3	0.17	0.14	0.5
63	0.22	0.15	0.36	0.15	0.1	0.27	0.46	0.88	0.38	0.34	0.67	0.3	0.39	0.26	0.35	0.6	0.57	0.39	0.22	0.8	0.28	0.16	0.13	0.37	0.06	0.14	0.5
64	0.25	0.12	0.36	0.12	0.1	0.25	0.36	0.56	0.35	0.3	0.83	0.26	0.31	0.3	0.25	0.47	0.64	0.36	0.22	0.67	0.25	0.13	0.17	0.35	0.06	0.14	0.5
65	0.25	0.23	0.32	0.18	0.1	0.29	0.41	0.94	0.38	0.28	0.67	0.28	0.36	0.3	0.28	0.48	0.57	0.41	0.22	0.8	0.25	0.11	0.2	0.35	0.06	0.14	0.5
66	0.22	0.15	0.32	0.11	0.13	0.22	0.36	0.44	0.38	0.28	0.67	0.28	0.32	0.26	0.24	0.47	0.5	0.34	0.28	0.6	0.25	0.11	0.17	0.33	0.06	0.14	0.5
67	0.22	0.12	0.29	0.11	0.1	0.22	0.3	0.44	0.34	0.25	0.67	0.24	0.26	0.26	0.2	0.39	0.5	0.31	0.22	0.67	0.25	0.11	0.13	0.3	0.06	0.14	0.5
68	0.22	0.12	0.29	0.11	0.1	0.22	0.3	0.44	0.34	0.25	0.67	0.24	0.26	0.26	0.2	0.39	0.5	0.31	0.22	0.6	0.25	0.11	0.13	0.3	0.06	0.14	0.5
69	0.22	0.12	0.29	0.11	0.1	0.22	0.31	0.44	0.35	0.25	0.67	0.24	0.26	0.26	0.22	0.39	0.5	0.31	0.22	0.6	0.25	0.11	0.13	0.3	0.06	0.14	0.5
70	0.22	0.12	0.36	0.11	0.1	0.22	0.3	0.44	0.34	0.26	0.67	0.24	0.26	0.26	0.2	0.39	0.5	0.31	0.22	0.6	0.25	0.13	0.13	0.3	0.06	0.14	0.5
71	0.22	0.12	0.29	0.11	0.1	0.22	0.32	0.44	0.35	0.25	0.67	0.24	0.26	0.26	0.22	0.39	0.5	0.31	0.22	0.6	0.25	0.11	0.13	0.3	0.06	0.14	0.5
72	0.25	0.12	0.29	0.11	0.1	0.22	0.32	0.5	0.35	0.25	0.67	0.24	0.27	0.26	0.2	0.39	0.5	0.31	0.22	0.67	0.25	0.11	0.13	0.3	0.06	0.14	0.5
73	0.28	0.27	0.43	0.16	0.19	0.31	0.43	0.62	0.42	0.35	0.67	0.29	0.35	0.31	0.31	0.52	0.5	0.41	0.28	0.67	0.3	0.18	0.23	0.35	0.06	0.14	0.5
74	0.25	0.12	0.29	0.11	0.1	0.24	0.3	0.62	0.34	0.26	0.67	0.24	0.26	0.27	0.2	0.4	0.5	0.34	0.22	0.6	0.25	0.11	0.13	0.3	0.06	0.14	0.5
75	0.28	0.12	0.29	0.11	0.1	0.27	0.31	0.44	0.35	0.26	0.83	0.3	0.28	0.27	0.25	0.39	0.5	0.33	0.22	0.6	0.29	0.11	0.13	0.3	0.06	0.14	0.5
76	0.22	0.12	0.29	0.11	0.1	0.22	0.3	0.44	0.34	0.25	0.67	0.24	0.26	0.26	0.2	0.39	0.5	0.31	0.22	0.6	0.25	0.11	0.13	0.3	0.06	0.14	0.5
77	0.28	0.12	0.29	0.12	0.1	0.24	0.36	0.62	0.36	0.26	0.67	0.27	0.31	0.26	0.27	0.47	0.57	0.34	0.22	0.6	0.28	0.11	0.13	0.3	0.06	0.14	0.5
78	0.31	0.35	0.29	0.17	0.16	0.31	0.55	0.94	0.44	0.3	0.67	0.33	0.4	0.27	0.31	0.55	0.57	0.44	0.33	0.67	0.31	0.18	0.23	0.41	0.11	0.14	0.5
79	0.28	0.17	0.29	0.11	0.1	0.22	0.34	0.62	0.35	0.26	0.67	0.24	0.29	0.26	0.23	0.42	0.57	0.31	0.22	0.8	0.25	0.11	0.2	0.3	0.06	0.14	0.5
80	0.25	0.17	0.29	0.11	0.1	0.24	0.32	0.62	0.35	0.25	0.67	0.24	0.27	0.26	0.2	0.39	0.5	0.31	0.22	0.67	0.25	0.11	0.2	0.3	0.06	0.14	0.5
81	0.22	0.12	0.29	0.11	0.1	0.22	0.3	0.44	0.34	0.25	0.67	0.24	0.26	0.26	0.2	0.39	0.5	0.31	0.22	0.6	0.25	0.11	0.13	0.3	0.06	0.14	0.5
82	0.28	0.12	0.29	0.11	0.1	0.24	0.3	0.44	0.4	0.28	0.67	0.26	0.28	0.26	0.2	0.4	0.57	0.33	0.28	0.67	0.28	0.11	0.13	0.37	0.06	0.14	0.5
83	0.25	0.12	0.29	0.11	0.1	0.22	0.31	0.5	0.35	0.25	0.67	0.24	0.26	0.26	0.2	0.39	0.5	0.31	0.22	0.6	0.25	0.11	0.13	0.3	0.06	0.14	0.5
84	0.25	0.23	0.46	0.2	0.1	0.32	0.38	0.62	0.37	0.35	0.67	0.27	0.36	0.26	0.26	0.45	0.57	0.46	0.33	0.67	0.26	0.2	0.13	0.37	0.06	0.14	0.5
85	0.25	0.12	0.29	0.11	0.1	0.22	0.3	0.44	0.34	0.25	0.67	0.24	0.26	0.26	0.2	0.39	0.5	0.31	0.22	0.6	0.25	0.11	0.13	0.3	0.06	0.14	0.5
86	0.03	0.06	0.29	0.01	0.1	0.22	0.01	0.06	0.01	0.14	0.17	0.01	0.03	0.26	0.01	0.39	0.5	0.03	0.22	0.6	0.25	0.09	0.13	0.3	0.06	0.14	0.5
87	0.03	0.06	0.29	0.01	0.1	0.22	0.01	0.06	0.01	0.14	0.17	0.01	0.03	0.26	0.02	0.01	0.5	0.03	0.22	0.6	0.25	0.09	0.13	0.3	0.06	0.14	0.5
88	0.22	0.21	0.32	0.08	0.06	0.2	0.28	0.75	0.3	0.19	0.67	0.26	0.29	0.22	0.24	0.27	0.29	0.29	0.17	0.73	0.32	0.13	0.13	0.33	0.06	0.14	0.5
89	0.22	0.04	0.07	0.08	0.03	0.08	0.04	0.31	0.07	0.03	0.17	0.03	0.06	0.05	0.02	0.08	0.21	0.09	0.17	0.2	0.06	0.13	0.13	0.13	0.06	0.14	0.5
90	0.03	0.04	0.07	0.08	0.03	0.08	0.01	0.31	0.01	0.03	0.17	0.02	0.01	0.05	0.01	0.08	0.21	0.09	0.17	0.2	0.01	0.13	0.13	0.13	0.06	0.14	0.5
91	0.03	0.02	0.07	0.04	0.03	0.02	0.06	0.25	0.1	0.01	0.17	0.11	0.01	0.05	0.05	0.07	0.14	0.06	0.17	0.13	0.03	0.02	0.07	0.04	0.06	0.14	0.5
92	0.03	0.02	0.07	0.04	0.03	0.02	0.01	0.25	0.01	0.01	0.17	0.02	0.01	0.05	0.01	0.07	0.14	0.06	0.17	0.13	0.01	0.02	0.07	0.04	0.06	0.14	0.5
93	0.03	0.02	0.07	0.01	0.03	0.02	0.01	0.25	0.01	0.01	0.17	0.02	0.01	0.01	0.01	0.07	0.14	0.01	0.17	0.13	0.01	0.02	0.07	0.04	0.06	0.14	0.5
94	0.03	0.02	0.07	0.04	0.03	0.15	0.06	0.19	0.1	0.1	0.33	0.05	0.09	0.07	0.01	0.02	0.14	0.13	0.17	0.4	0.05	0.02	0.03	0.15	0.06	0.14	0.5
95	0.03	0.02	0.07	0.04	0.03	0.02	0.06	0.19	0.1	0.1	0.33	0.05	0.01	0.07	0.01	0.02	0.14	0.13	0.17	0.4	0.05	0.02	0.03	0.15	0.06	0.14	0.5
96	0.03	0.04	0.07	0.06	0.1	0.05	0.02	0.19	0.02	0.01	0.33	0.01	0.02	0.07	0.02	0.02	0.14	0.13	0.17	0.07	0.06	0.02	0.03	0.02	0.06	0.14	0.5
97	0.03	0.27	0.07	0.11	0.03	0.05	0.04	0.19	0.03	0.03	0.33	0.02	0.05	0.01	0.03	0.02	0.14	0.04	0.17	0.07	0.08	0.02	0.03	0.07	0.06	0.14	0.5
98	0.06	0.27	0.11	0.02	0.06	0.03	0.02	0.19	0.01	0.01	0.33	0.02	0.01	0.01	0.06	0.04	0.14	0.03	0.17	0.07	0.03	0.02	0.03	0.07	0.06	0.14	0.5
99	0.03	0.27	0.04	0.04	0.13	0.02	0.01	0.06	0.03	0.01	0.33	0.03	0.04	0.01	0.06	0.01	0.14	0.04	0.17	0.07	0.03	0.02	0.03	0.11	0.11	0.14	0.5
100	0.03	0.27	0.04	0.01	0.03	0.02	0.01	0.06	0.03	0.01	0.17	0.03	0.04	0.01	0.06	0.01	0.14	0.04	0.17	0.07	0.01	0.02	0.03	0.11	0.11	0.14	0.5
101	0.03	0.27	0.04	0.01	0.03	0.02	0.01	0.06	0.03	0.01	0.17	0.03	0.04	0.01	0.06	0.01	0.14	0.04	0.17	0.07	0.01	0.02	0.03	0.11	0.11	0.14	0.5
102	0.06	0.23	0.29	0.55	0.52	0.44	0.41	0.25	0.35	0.3	0.5	0.34	0.5	0.09	0.36	0.29	0.14	0.2	0.44	0.33	0.38	0.07	0.23	0.54	0.06	0.14	0.5
103	0.03	0.23	0.07	0.01	0.13	0.02	0.07	0.06	0.09	0.05	0.5	0.16	0.11	0.09	0.1	0.08	0.14	0.03	0.44	0.07	0.14	0.02	0.23	0.07	0.06	0.14	0.5
104	0.03	0.21	0.07	0.27	0.16	0.2	0.12	0.06	0.27	0.06	0.33	0.22	0.17	0.09	0.12	0.14	0.07	0.1	0.06	0.07	0.39	0.04	0.07	0.07	0.06	0.14	0.5
105	0.06	0.19	0.07	0.21	0.1	0.24	0.09	0.06	0.09	0.05	0.33	0.12	0.09	0.09	0.09	0.08	0.07	0.07	0.06	0.13	0.15	0.04	0.03	0.17	0.06	0.14	0.5
106	0.06	0.19	0.07	0.02	0.06	0.02	0.09	0.06	0.09	0.05	0.33	0.12	0.01	0.09	0.09	0.08	0.07	0.07	0.06	0.13	0.15	0.04	0.03	0.02	0.06	0.14	0.5
107	0.03	0.08	0.07	0.02	0.06	0.05	0.04	0.06	0.14	0.04	0.17	0.13	0.04	0.05	0.05	0.02	0.07	0.06	0.06	0.07	0.01	0.04	0.03	0.09	0.06	0.14	0.5
108	0.03	0.02	0.07	0.04	0.06	0.07	0.03	0.06	0.04	0.04	0.17	0.05	0.01	0.02	0.02	0.04	0.07	0.06	0.06	0.07	0.03	0.04	0.03	0.02	0.06	0.14	0.5
109	0.03	0.02	0.07	0.04	0.06	0.07	0.03	0.06	0.01	0.04	0.17	0.05	0.01	0.02	0.02	0.04	0.07	0.01	0.06	0.07	0.03	0.04	0.03	0.02	0.06	0.14	0.5
110	0.17	0.08	0.04	0.26	0.19	0.31	0.28	0.38	0.43	0.14	0.5	0.34	0.24	0.19	0.18	0.32	0.29	0.39	0.17	0.4	0.32	0.04	0.03	0.26	0.06	0.14	0.5
111	0.17	0.02	0.04	0.01	0.1	0.07	0.03	0.38	0.04	0.03	0.5	0.06	0.06	0.19	0.1	0.05	0.29	0.39	0.06	0.4	0.02	0.04	0.03	0.04	0.06	0.14	0.5
112	0.08	0.31	0.21	0.66	0.58	0.53	0.14	0.12	0.31	0.26	0.5	0.39	0.41	0.09	0.18	0.12	0.21	0.24	0.17	0.27	0.48	0.07	0.23	0.37	0.06	0.14	0.5
113	0.11	0.19	0.18	0.22	0.26	0.19	0.15	0.06	0.28	0.26	0.17	0.42	0.33	0.09	0.15	0.11	0.14	0.17	0.11	0.4	0.36	0.07	0.17	0.28	0.06	0.14	0.5
114	0.06	0.15	0.18	0.11	0.06	0.14	0.07	0.06	0.1	0.01	0.17	0.13	0.07	0.09	0.06	0.02	0.14	0.1	0.11	0.4	0.22	0.07	0.07	0.11	0.11	0.14	0.5
115	0.03	0.06	0.18	0.15	0.16	0.05	0.03	0.06	0.06	0.04	0.17	0.02	0.06	0.09	0.03	0.02	0.14	0.04	0.17	0.4	0.09	0.07	0.07	0.04	0.11	0.14	0.5
116	0.08	0.31	0.21	0.43	0.48	0.53	0.2	0.06	0.4	0.3	0.67	0.39	0.39	0.09	0.3	0.18	0.21	0.21	0.11	0.33	0.52	0.09	0.23	0.43	0.06	0.14	0.5
117	0.03	0.04	0.21	0.04	0.48	0.12	0.03	0.06	0.05	0.01	0.67	0.07	0.06	0.09	0.02	0.02	0.07	0.03	0.06	0.07	0.1	0.02	0.07	0.07	0.06	0.14	0.5
118	0.03	0.21	0.04	0.22	0.19	0.2	0.11	0.06	0.19	0.05	0.17	0.11	0.16	0.09	0.19	0.15	0.14	0.11	0.06	0.07	0.25	0.02	0.07	0.11	0.06	0.14	0.5
119	0.03	0.33	0.04	0.09	0.1	0.22	0.06	0.06	0.1	0.04	0.17	0.14	0.1	0.09	0.09	0.05	0.14	0.1	0.06	0.13	0.23	0.02	0.13	0.11	0.06	0.14	0.5
120	0.03	0.33	0.04	0.09	0.1	0.02	0.01	0.06	0.1	0.04	0.17	0.02	0.02	0.09	0.09	0.05	0.14	0.1	0.06	0.13	0.02	0.02	0.13	0.11	0.06	0.14	0.5
121	0.03	0.04	0.04	0.07	0.03	0.02	0.03	0.06	0.02	0.04	0.17	0.15	0.06	0.09	0.02	0.05	0.07	0.01	0.06	0.07	0.15	0.02	0.03	0.11	0.06	0.14	0.5
122	0.03	0.12	0.04	0.09	0.13	0.14	0.11	0.06	0.09	0.03	0.17	0.12	0.09	0.02	0.07	0.09	0.07	0.13	0.22	0.07	0.21	0.02	0.17	0.09	0.11	0.14	0.5
123	0.03	0.12	0.04	0.01	0.13	0.14	0.03	0.06	0.03	0.01	0.17	0.06	0.03	0.02	0.02	0.04	0.07	0.01	0.06	0.07	0.08	0.02	0.17	0.02	0.11	0.14	0.5
